customer_id,customer_fname,customer_lname,customer_city,customer_country,customer_segment
20755,Cally,Holloway,Caguas,Puerto Rico,Consumer
19492,Irene,Luna,Caguas,Puerto Rico,Consumer
19491,Gillian,Maldonado,San Jose,EE. UU.,Consumer
19490,Tana,Tate,Los Angeles,EE. UU.,Home Office
19489,Orli,Hendricks,Caguas,Puerto Rico,Corporate
19488,Kimberly,Flowers,Tonawanda,EE. UU.,Consumer
19487,Constance,Terrell,Caguas,Puerto Rico,Home Office
19486,Erica,Stevens,Miami,EE. UU.,Corporate
19485,Nichole,Olsen,Caguas,Puerto Rico,Corporate
19484,Oprah,Delacruz,San Ramon,EE. UU.,Corporate
19483,Germane,Short,Caguas,Puerto Rico,Corporate
19482,Freya,Robbins,Freeport,EE. UU.,Consumer
19481,Cassandra,Jensen,Salinas,EE. UU.,Corporate
19480,Natalie,Mcfadden,Caguas,Puerto Rico,Corporate
19479,Kimberley,Sharpe,Peabody,EE. UU.,Corporate
19478,Sade,Lancaster,Caguas,Puerto Rico,Corporate
19477,Brynne,Giles,Canovanas,Puerto Rico,Corporate
19476,Ciara,Bird,Paramount,EE. UU.,Corporate
19475,Bo,Griffin,Caguas,Puerto Rico,Consumer
19474,Kim,Simon,Mount Prospect,EE. UU.,Consumer
19473,Kellie,Farmer,Long Beach,EE. UU.,Corporate
19472,Alma,Conley,Caguas,Puerto Rico,Corporate
19471,Yeo,Bird,Rancho Cordova,EE. UU.,Corporate
19470,Lucy,Mcknight,Caguas,Puerto Rico,Corporate
19469,Simone,Vance,Billings,EE. UU.,Corporate
19468,Roary,Wheeler,Caguas,Puerto Rico,Corporate
19467,Quail,Ashley,Wilkes Barre,EE. UU.,Consumer
19466,Hannah,Velez,Caguas,Puerto Rico,Corporate
19465,Evelyn,Kelly,Roseville,EE. UU.,Corporate
19464,Jael,Mcfarland,Bellflower,EE. UU.,Consumer
19463,Teagan,Romero,Caguas,Puerto Rico,Consumer
19462,Joan,Wilder,Wheaton,EE. UU.,Consumer
19461,Basia,Watts,Caguas,Puerto Rico,Consumer
19460,Dominique,Rogers,Detroit,EE. UU.,Consumer
19459,Ainsley,Mathis,Dallas,EE. UU.,Consumer
19458,Aurora,Sharp,Caguas,Puerto Rico,Corporate
19457,Libby,Bray,Carlisle,EE. UU.,Corporate
19456,Amy,Lindsay,Dallas,EE. UU.,Corporate
